trace relationship count
workflowhub_montage_dataset-02_degree-2.0_osg_schema-0-2_montage-2.0-osg-run007_parquet 1:0 4
workflowhub_montage_dataset-02_degree-2.0_osg_schema-0-2_montage-2.0-osg-run007_parquet 0:N 2
workflowhub_montage_dataset-02_degree-2.0_osg_schema-0-2_montage-2.0-osg-run007_parquet N:N 609
workflowhub_montage_dataset-02_degree-4.0_osg_schema-0-2_montage-4.0-osg-run009_parquet N:1 2331
workflowhub_montage_dataset-02_degree-4.0_osg_schema-0-2_montage-4.0-osg-run009_parquet 1:1 2
workflowhub_montage_dataset-02_degree-4.0_osg_schema-0-2_montage-4.0-osg-run009_parquet 1:0 4
workflowhub_montage_dataset-02_degree-4.0_osg_schema-0-2_montage-4.0-osg-run009_parquet 0:N 2
workflowhub_montage_dataset-02_degree-4.0_osg_schema-0-2_montage-4.0-osg-run009_parquet N:N 1426
workflowhub_montage_ti01-971107n_degree-2.0_osg_schema-0-2_montage-2.0-osg-run007_parquet N:1 806
workflowhub_montage_ti01-971107n_degree-2.0_osg_schema-0-2_montage-2.0-osg-run007_parquet 1:1 4
workflowhub_montage_ti01-971107n_degree-2.0_osg_schema-0-2_montage-2.0-osg-run007_parquet 1:0 4
workflowhub_montage_ti01-971107n_degree-2.0_osg_schema-0-2_montage-2.0-osg-run007_parquet 0:N 2
workflowhub_montage_ti01-971107n_degree-2.0_osg_schema-0-2_montage-2.0-osg-run007_parquet N:N 559
workflowhub_montage_ti01-971107n_degree-4.0_osg_schema-0-2_montage-4.0-osg-run009_parquet N:1 2495
workflowhub_montage_ti01-971107n_degree-4.0_osg_schema-0-2_montage-4.0-osg-run009_parquet 1:1 2
workflowhub_montage_ti01-971107n_degree-4.0_osg_schema-0-2_montage-4.0-osg-run009_parquet 1:0 4
workflowhub_montage_ti01-971107n_degree-4.0_osg_schema-0-2_montage-4.0-osg-run009_parquet 1:N 419
workflowhub_montage_ti01-971107n_degree-4.0_osg_schema-0-2_montage-4.0-osg-run009_parquet 0:N 2
workflowhub_montage_ti01-971107n_degree-4.0_osg_schema-0-2_montage-4.0-osg-run009_parquet N:N 1022
workflowhub_soykb_grid5000_schema-0-2_soykb-g5k-run002_parquet N:0 13
workflowhub_soykb_grid5000_schema-0-2_soykb-g5k-run002_parquet N:1 25
workflowhub_soykb_grid5000_schema-0-2_soykb-g5k-run002_parquet 1:1 5
workflowhub_soykb_grid5000_schema-0-2_soykb-g5k-run002_parquet 1:0 10
workflowhub_soykb_grid5000_schema-0-2_soykb-g5k-run002_parquet 1:N 4
workflowhub_soykb_grid5000_schema-0-2_soykb-g5k-run002_parquet 0:N 2
workflowhub_soykb_grid5000_schema-0-2_soykb-g5k-run002_parquet N:N 693
